Settimana,ethereum-classic
2017-08-27,2.0
2017-09-03,1.3
2017-09-10,0.95
2017-09-17,0.8
2017-09-24,0.95
2017-10-01,0.42
2017-10-08,0.54
2017-10-15,0.51
2017-10-22,0.48
2017-10-29,0.63
2017-11-05,5.5
2017-11-12,5.5
2017-11-19,4.29
2017-11-26,11.0
2017-12-03,9.0
2017-12-10,13.5
2017-12-17,13.65
2017-12-24,9.0
2017-12-31,10.65
2018-01-07,14.55
2018-01-14,13.5
2018-01-21,6.75
2018-01-28,6.9
2018-02-04,4.29
2018-02-11,10.12
2018-02-18,8.25
2018-02-25,7.92
2018-03-04,4.69
2018-03-11,1.82
2018-03-18,1.61
2018-03-25,1.33
2018-04-01,0.6
2018-04-08,0.36
2018-04-15,0.48
2018-04-22,0.45
2018-04-29,0.6
2018-05-06,0.57
2018-05-13,0.51
2018-05-20,0.39
2018-05-27,0.48
2018-06-03,0.78
2018-06-10,3.84
2018-06-17,1.98
2018-06-24,1.32
2018-07-01,1.3
2018-07-08,1.45
2018-07-15,1.25
2018-07-22,1.2
2018-07-29,1.4
2018-08-05,10.68
2018-08-12,12.0
2018-08-19,7.08
2018-08-26,4.68
2018-09-02,2.05
2018-09-09,1.55
2018-09-16,1.15
2018-09-23,1.0
2018-09-30,1.05
2018-10-07,0.63
2018-10-14,0.54
2018-10-21,0.57
2018-10-28,0.54
2018-11-04,0.6
2018-11-11,0.48
2018-11-18,0.63
2018-11-25,0.57
2018-12-02,0.84
2018-12-09,0.48
2018-12-16,0.39
2018-12-23,0.6
2018-12-30,0.99
2019-01-06,3.0
2019-01-13,1.11
2019-01-20,0.87
2019-01-27,0.69
2019-02-03,0.5
2019-02-10,0.56
2019-02-17,0.84
2019-02-24,0.68
2019-03-03,0.56
2019-03-10,0.34
2019-03-17,0.56
2019-03-24,0.36
2019-03-31,0.72
2019-04-07,2.91
2019-04-14,1.02
2019-04-21,0.9
2019-04-28,0.78
2019-05-05,0.87
2019-05-12,1.65
2019-05-19,1.08
2019-05-26,1.53
2019-06-02,1.62
2019-06-09,1.08
2019-06-16,1.29
2019-06-23,1.89
2019-06-30,0.99
2019-07-07,0.68
2019-07-14,0.52
2019-07-21,0.46
2019-07-28,0.4
2019-08-04,0.81
2019-08-11,0.9
2019-08-18,1.8
2019-08-25,1.05
2019-09-01,0.56
2019-09-08,0.56
2019-09-15,0.46
2019-09-22,0.5
2019-09-29,0.38
2019-10-06,0.34
2019-10-13,0.4
2019-10-20,0.44
2019-10-27,0.46
2019-11-03,0.25
2019-11-10,0.15
2019-11-17,0.19
2019-11-24,0.18
2019-12-01,0.34
2019-12-08,0.36
2019-12-15,0.46
2019-12-22,0.58
2019-12-29,0.53
2020-01-05,1.55
2020-01-12,5.0
2020-01-19,2.5
2020-01-26,3.7
2020-02-02,1.44
2020-02-09,1.41
2020-02-16,1.17
2020-02-23,1.02
2020-03-01,0.52
2020-03-08,0.54
2020-03-15,0.48
2020-03-22,0.44
2020-03-29,0.46
2020-04-05,0.5
2020-04-12,0.4
2020-04-19,0.52
2020-04-26,0.76
2020-05-03,1.2
2020-05-10,1.17
2020-05-17,0.96
2020-05-24,0.9
2020-05-31,0.93
2020-06-07,0.52
2020-06-14,0.44
2020-06-21,0.6
2020-06-28,0.48
2020-07-05,0.4
2020-07-12,0.52
2020-07-19,0.4
2020-07-26,0.84
2020-08-02,1.65
2020-08-09,1.17
2020-08-16,1.11
2020-08-23,0.81
2020-08-30,1.32
2020-09-06,1.02
2020-09-13,0.87
2020-09-20,1.2
2020-09-27,0.93
2020-10-04,0.44
2020-10-11,0.4
2020-10-18,0.5
2020-10-25,0.52
2020-11-01,1.28
2020-11-08,1.2
2020-11-15,2.12
2020-11-22,3.0
2020-11-29,2.2
2020-12-06,1.32
2020-12-13,1.96
2020-12-20,2.32
2020-12-27,1.4
2021-01-03,0.55
2021-01-10,0.66
2021-01-17,0.33
2021-01-24,0.44
2021-01-31,0.55
2021-02-07,1.6
2021-02-14,1.6
2021-02-21,0.8
2021-02-28,0.48
2021-03-07,0.21
2021-03-14,0.21
2021-03-21,0.14
2021-03-28,0.21
2021-04-04,1.61
2021-04-11,3.68
2021-04-18,2.53
2021-04-25,1.84
2021-05-02,100.0
2021-05-09,48.0
2021-05-16,18.0
2021-05-23,14.0
2021-05-30,9.0
2021-06-06,1.12
2021-06-13,0.8
2021-06-20,0.96
2021-06-27,0.96
2021-07-04,0.4
2021-07-11,0.4
2021-07-18,0.4
2021-07-25,0.4
2021-08-01,0.48
2021-08-08,0.72
2021-08-15,0.72
2021-08-22,0.48
2021-08-29,0.48
2021-09-05,0.32
2021-09-12,0.24
2021-09-19,0.24
2021-09-26,0.24
2021-10-03,0.27
2021-10-10,0.36
2021-10-17,0.36
2021-10-24,0.36
2021-10-31,0.36
2021-11-07,0.4
2021-11-14,0.24
2021-11-21,0.24
2021-11-28,0.24
2021-12-05,0.18
2021-12-12,0.12
2021-12-19,0.12
2021-12-26,1.02
2022-01-02,2.52
2022-01-09,2.94
2022-01-16,2.45
2022-01-23,2.66
2022-01-30,2.17
2022-02-06,2.0
2022-02-13,1.4
2022-02-20,1.35
2022-02-27,1.15
2022-03-06,2.16
2022-03-13,2.7
2022-03-20,9.0
2022-03-27,4.59
2022-04-03,1.85
2022-04-10,1.55
2022-04-17,1.4
2022-04-24,1.3
2022-05-01,1.3
2022-05-08,1.4
2022-05-15,1.85
2022-05-22,1.9
2022-05-29,1.3
2022-06-05,0.92
2022-06-12,1.24
2022-06-19,0.84
2022-06-26,0.8
2022-07-03,0.96
2022-07-10,1.02
2022-07-17,2.82
2022-07-24,4.2
2022-07-31,3.0
2022-08-07,3.36
2022-08-14,2.94
2022-08-21,2.59
2022-08-28,2.38
2022-09-04,6.93
2022-09-11,10.34
2022-09-18,6.27
2022-09-25,4.07
2022-10-02,1.0
2022-10-09,0.96
2022-10-16,0.72
2022-10-23,0.88
2022-10-30,0.88
2022-11-06,0.63
2022-11-13,0.54
2022-11-20,0.51
2022-11-27,0.48
2022-12-04,0.26
2022-12-11,0.28
2022-12-18,0.28
2022-12-25,0.24
2023-01-01,3.0
2023-01-08,2.79
2023-01-15,2.49
2023-01-22,2.34
2023-01-29,2.7
2023-02-05,1.95
2023-02-12,1.8
2023-02-19,1.98
2023-02-26,1.5
2023-03-05,1.16
2023-03-12,1.24
2023-03-19,1.18
2023-03-26,1.12
2023-04-02,1.14
2023-04-09,1.44
2023-04-16,1.38
2023-04-23,0.96
2023-04-30,0.76
2023-05-07,0.4
2023-05-14,0.43
2023-05-21,0.35
2023-05-28,0.37
2023-06-04,1.02
2023-06-11,0.94
2023-06-18,1.44
2023-06-25,1.58
2023-07-02,1.16
2023-07-09,1.3
2023-07-16,1.12
2023-07-23,1.22
2023-07-30,0.78
2023-08-06,1.02
2023-08-13,0.96
2023-08-20,0.86
2023-08-27,0.92
2023-09-03,0.8
2023-09-10,0.9
2023-09-17,0.8
2023-09-24,0.72
2023-10-01,0.38
2023-10-08,0.38
2023-10-15,0.43
2023-10-22,0.44
2023-10-29,0.42
2023-11-05,1.18
2023-11-12,1.18
2023-11-19,1.1
2023-11-26,1.02
2023-12-03,2.52
2023-12-10,1.98
2023-12-17,2.1
2023-12-24,2.07
2023-12-31,1.83
