Settimana,ethereum
2017-08-27,5.6
2017-09-03,4.16
2017-09-10,3.77
2017-09-17,2.99
2017-09-24,2.6
2017-10-01,2.28
2017-10-08,3.0
2017-10-15,3.48
2017-10-22,2.88
2017-10-29,3.48
2017-11-05,7.48
2017-11-12,6.6
2017-11-19,10.34
2017-11-26,14.96
2017-12-03,32.76
2017-12-10,42.0
2017-12-17,41.16
2017-12-24,23.94
2017-12-31,30.66
2018-01-07,36.0
2018-01-14,28.8
2018-01-21,16.92
2018-01-28,18.0
2018-02-04,7.92
2018-02-11,5.58
2018-02-18,4.86
2018-02-25,3.78
2018-03-04,2.31
2018-03-11,2.42
2018-03-18,2.31
2018-03-25,2.42
2018-04-01,1.62
2018-04-08,1.35
2018-04-15,1.44
2018-04-22,1.62
2018-04-29,1.8
2018-05-06,1.8
2018-05-13,1.44
2018-05-20,1.35
2018-05-27,1.17
2018-06-03,0.72
2018-06-10,0.84
2018-06-17,0.66
2018-06-24,0.66
2018-07-01,0.54
2018-07-08,0.6
2018-07-15,0.6
2018-07-22,0.66
2018-07-29,0.6
2018-08-05,0.78
2018-08-12,0.9
2018-08-19,0.6
2018-08-26,0.6
2018-09-02,0.78
2018-09-09,0.9
2018-09-16,0.54
2018-09-23,0.54
2018-09-30,0.42
2018-10-07,0.32
2018-10-14,0.32
2018-10-21,0.28
2018-10-28,0.28
2018-11-04,0.4
2018-11-11,0.4
2018-11-18,0.45
2018-11-25,0.45
2018-12-02,0.45
2018-12-09,0.4
2018-12-16,0.35
2018-12-23,0.5
2018-12-30,1.03
2019-01-06,1.55
2019-01-13,1.45
2019-01-20,1.05
2019-01-27,1.05
2019-02-03,0.76
2019-02-10,0.84
2019-02-17,1.24
2019-02-24,1.08
2019-03-03,0.63
2019-03-10,0.54
2019-03-17,0.6
2019-03-24,0.54
2019-03-31,0.75
2019-04-07,1.0
2019-04-14,0.8
2019-04-21,0.88
2019-04-28,0.84
2019-05-05,1.2
2019-05-12,2.35
2019-05-19,1.55
2019-05-26,1.65
2019-06-02,1.2
2019-06-09,1.2
2019-06-16,1.7
2019-06-23,2.45
2019-06-30,1.95
2019-07-07,5.94
2019-07-14,9.0
2019-07-21,1.98
2019-07-28,1.8
2019-08-04,0.88
2019-08-11,0.76
2019-08-18,0.84
2019-08-25,0.8
2019-09-01,0.76
2019-09-08,0.76
2019-09-15,0.92
2019-09-22,0.92
2019-09-29,0.76
2019-10-06,0.54
2019-10-13,0.54
2019-10-20,0.57
2019-10-27,0.57
2019-11-03,0.54
2019-11-10,0.54
2019-11-17,0.54
2019-11-24,0.51
2019-12-01,0.54
2019-12-08,0.48
2019-12-15,0.6
2019-12-22,0.57
2019-12-29,0.51
2020-01-05,0.52
2020-01-12,0.68
2020-01-19,0.52
2020-01-26,0.64
2020-02-02,1.32
2020-02-09,1.92
2020-02-16,1.56
2020-02-23,1.2
2020-03-01,0.85
2020-03-08,1.2
2020-03-15,1.15
2020-03-22,0.8
2020-03-29,0.75
2020-04-05,1.2
2020-04-12,1.08
2020-04-19,1.38
2020-04-26,1.68
2020-05-03,1.96
2020-05-10,1.82
2020-05-17,1.68
2020-05-24,1.68
2020-05-31,2.03
2020-06-07,1.44
2020-06-14,1.32
2020-06-21,1.5
2020-06-28,1.38
2020-07-05,1.92
2020-07-12,1.84
2020-07-19,2.64
2020-07-26,4.88
2020-08-02,7.32
2020-08-09,5.64
2020-08-16,4.92
2020-08-23,3.72
2020-08-30,5.4
2020-09-06,3.06
2020-09-13,2.52
2020-09-20,2.25
2020-09-27,1.98
2020-10-04,1.2
2020-10-11,1.2
2020-10-18,1.56
2020-10-25,1.44
2020-11-01,3.6
2020-11-08,4.2
2020-11-15,5.28
2020-11-22,8.88
2020-11-29,6.72
2020-12-06,5.7
2020-12-13,8.4
2020-12-20,8.55
2020-12-27,9.22
2021-01-03,31.72
2021-01-10,23.92
2021-01-17,20.8
2021-01-24,19.76
2021-01-31,24.44
2021-02-07,30.78
2021-02-14,29.07
2021-02-21,29.07
2021-02-28,20.52
2021-03-07,13.69
2021-03-14,11.47
2021-03-21,10.36
2021-03-28,13.69
2021-04-04,18.72
2021-04-11,25.48
2021-04-18,24.96
2021-04-25,25.48
2021-05-02,93.0
2021-05-09,100.0
2021-05-16,91.0
2021-05-23,70.0
2021-05-30,50.0
2021-06-06,17.63
2021-06-13,14.19
2021-06-20,17.2
2021-06-27,13.33
2021-07-04,9.57
2021-07-11,8.58
2021-07-18,9.57
2021-07-25,10.56
2021-08-01,19.8
2021-08-08,18.92
2021-08-15,15.4
2021-08-22,14.96
2021-08-29,17.6
2021-09-05,15.21
2021-09-12,11.7
2021-09-19,12.09
2021-09-26,10.53
2021-10-03,12.8
2021-10-10,13.6
2021-10-17,15.2
2021-10-24,16.0
2021-10-31,17.2
2021-11-07,20.7
2021-11-14,18.9
2021-11-21,16.2
2021-11-28,18.45
2021-12-05,15.17
2021-12-12,14.35
2021-12-19,13.53
2021-12-26,20.7
2022-01-02,39.6
2022-01-09,37.35
2022-01-16,36.0
2022-01-23,43.2
2022-01-30,38.25
2022-02-06,27.75
2022-02-13,24.79
2022-02-20,25.9
2022-02-27,24.05
2022-03-06,17.36
2022-03-13,16.43
2022-03-20,17.67
2022-03-27,19.22
2022-04-03,12.96
2022-04-10,11.04
2022-04-17,10.56
2022-04-24,10.32
2022-05-01,11.61
2022-05-08,19.71
2022-05-15,14.31
2022-05-22,12.96
2022-05-29,11.88
2022-06-05,14.52
2022-06-12,33.0
2022-06-19,23.43
2022-06-26,17.49
2022-07-03,11.96
2022-07-10,11.18
2022-07-17,16.38
2022-07-24,13.52
2022-07-31,12.48
2022-08-07,14.3
2022-08-14,13.52
2022-08-21,11.7
2022-08-28,11.18
2022-09-04,15.19
2022-09-11,29.14
2022-09-18,17.67
2022-09-25,11.78
2022-10-02,5.12
2022-10-09,4.8
2022-10-16,4.32
2022-10-23,5.6
2022-10-30,5.44
2022-11-06,10.0
2022-11-13,8.2
2022-11-20,6.4
2022-11-27,5.6
2022-12-04,3.51
2022-12-11,3.51
2022-12-18,3.51
2022-12-25,3.25
2023-01-01,10.88
2023-01-08,13.43
2023-01-15,15.3
2023-01-22,12.58
2023-01-29,12.92
2023-02-05,9.52
2023-02-12,9.8
2023-02-19,9.66
2023-02-26,8.54
2023-03-05,8.55
2023-03-12,12.3
2023-03-19,12.15
2023-03-26,10.5
2023-04-02,12.41
2023-04-09,17.0
2023-04-16,14.11
2023-04-23,11.39
2023-04-30,10.54
2023-05-07,6.49
2023-05-14,5.39
2023-05-21,5.17
2023-05-28,5.83
2023-06-04,6.36
2023-06-11,6.6
2023-06-18,6.84
2023-06-25,6.72
2023-07-02,5.94
2023-07-09,6.16
2023-07-16,5.61
2023-07-23,5.5
2023-07-30,4.73
2023-08-06,3.87
2023-08-13,4.23
2023-08-20,3.87
2023-08-27,3.87
2023-09-03,3.2
2023-09-10,3.28
2023-09-17,3.2
2023-09-24,3.12
2023-10-01,4.1
2023-10-08,3.8
2023-10-15,4.2
2023-10-22,6.0
2023-10-29,5.2
2023-11-05,9.36
2023-11-12,9.49
2023-11-19,8.45
2023-11-26,7.8
2023-12-03,14.72
2023-12-10,11.52
2023-12-17,11.2
2023-12-24,11.52
2023-12-31,12.0
